Marca,Modelo,Año,Versión,Color,Tipo de combustible,Transmisión,Motor,Kilómetros,Precio,Moneda,Tipo de vendedor,Cilindros,Turbo
Peugeot,2008,2021.0,1.6 In Concert,plata,Nafta,Manual,1.6,29000,17990.43,U$S,concesionaria,1,0
Peugeot,2008,2024.0,1.6 Feline Tip,blanco,Nafta,Automática,1.6,0,14918.66,U$S,concesionaria,1,0
Peugeot,2008,2021.0,1.6 Allure,blanco,Nafta/GNC,Manual,1.6,48000,8611.48,U$S,concesionaria,1,0
Peugeot,2008,2018.0,1.6 Allure,marrón,Nafta,Manual,1.6,99000,16700.0,U$S,concesionaria,1,0
Peugeot,2008,2021.0,1.6 Feline,plata,Nafta,Manual,1.6,40000,18947.37,U$S,concesionaria,1,0
Peugeot,2008,2022.0,1.6 Feline Tip,blanco,Nafta,Automática,1.6,21000,22500.0,U$S,concesionaria,1,0
Peugeot,2008,2019.0,1.6 Feline,blanco,Nafta,Manual,1.6,54000,17000.0,U$S,concesionaria,1,0
Peugeot,2008,2023.0,1.6 Feline Tip,gris,Nafta,Automática,1.6,0,15119.62,U$S,concesionaria,1,0
Peugeot,2008,2017.0,1.6 Thp Sport,gris,Nafta,Manual,1.6,95800,13864.11,U$S,concesionaria,1,0
Peugeot,2008,2018.0,1.6 Allure,negro,Nafta,Manual,1.6,43474,13397.13,U$S,tienda,1,0
Peugeot,2008,2019.0,1.6 Feline,plata,Nafta,Manual,1.6,79000,15789.47,U$S,concesionaria,1,0
Peugeot,2008,2020.0,1.6 Feline,blanco,Nafta,Manual,1.6,45745,18181.82,U$S,tienda,1,0
Peugeot,2008,2021.0,1.6 Feline Tip,plata,Nafta,Automática,1.6,42000,19300.0,U$S,concesionaria,1,0
Peugeot,2008,2021.0,1.6 Allure,rojo,Nafta,Manual,1.6,21300,17900.0,U$S,concesionaria,1,0
Peugeot,2008,2022.0,1.6 Feline Tip,rojo,Nafta,Automática,1.6,24000,20956.94,U$S,concesionaria,1,0
Peugeot,2008,2019.0,1.6 Crossway,blanco,Nafta,Manual,1.6,90000,16544.5,U$S,concesionaria,1,0
Peugeot,2008,2020.0,1.6 In Concert Tiptronic,plata,Nafta,Automática,1.6,31908,19712.92,U$S,concesionaria,1,0
Peugeot,2008,2018.0,1.6 Allure,blanco,Nafta,Manual,1.6,78000,14800.0,U$S,concesionaria,1,0
Peugeot,2008,2018.0,1.6 Thp Sport,negro,Nafta,Manual,1.6,77000,16745.45,U$S,concesionaria,1,0
Peugeot,2008,2021.0,1.6 Thp Sport am20,gris,Nafta,Manual,1.6,38000,19500.0,U$S,concesionaria,1,0
Peugeot,2008,2018.0,1.6 Thp Sport,rojo,Nafta,Manual,1.6,87000,6411.48,U$S,concesionaria,1,0
Peugeot,2008,2018.0,1.6 Thp Sport,rojo,Nafta,Manual,1.6,87000,13865.93,U$S,concesionaria,1,0
Peugeot,2008,2018.0,1.6 Feline Tip,blanco,Nafta,Automática,1.6,43000,16267.94,U$S,concesionaria,1,0
Peugeot,2008,2022.0,1.6 Thp Sport Tip,blanco,Nafta,Automática,1.6,20000,19000.0,U$S,concesionaria,1,0
Peugeot,2008,2022.0,1.6 Thp Sport Tip,blanco,Nafta,Automática,1.6,20000,18181.82,U$S,concesionaria,1,0
Peugeot,2008,2017.0,1.6 Thp Sport,gris,Nafta,Manual,1.6,77000,13875.6,U$S,concesionaria,1,0
Peugeot,2008,2017.0,1.6 Allure Tip,gris,Nafta,Automática,1.6,44000,14500.0,U$S,particular,1,0
Peugeot,2008,2016.0,1.6 Thp Sport,blanco,Nafta,Manual,1.6,74500,11961.72,U$S,concesionaria,1,0
Peugeot,2008,2017.0,1.6 Thp Sport,negro,Nafta,Manual,1.6,148500,12918.66,U$S,concesionaria,1,0
Peugeot,2008,2021.0,1.6 Thp Sport Tip,rojo,Nafta,Automática,1.6,54000,19043.06,U$S,concesionaria,1,0
Peugeot,2008,2018.0,1.6 Feline,blanco,Nafta,Manual,1.6,70000,15800.0,U$S,concesionaria,1,0
Peugeot,2008,2018.0,1.6 Allure,blanco,Nafta,Manual,1.6,30190,13492.82,U$S,tienda,1,0
Peugeot,2008,2019.0,1.6 Crossway,blanco,Nafta,Manual,1.6,98000,18800.0,U$S,concesionaria,1,0
Peugeot,2008,2017.0,1.6 Feline,blanco,Nafta,Manual,1.6,53000,15700.0,U$S,particular,1,0
Peugeot,2008,2017.0,1.6 Thp Sport,blanco,Nafta,Manual,1.6,68000,14832.54,U$S,concesionaria,1,0
Peugeot,2008,2016.0,1.6 Allure Tip,negro,Nafta,Automática,1.6,67000,12440.1,U$S,concesionaria,1,0
Peugeot,2008,2020.0,1.6 Thp Sport am20,gris,Nafta,Manual,1.6,65000,17416.27,U$S,concesionaria,1,0
Peugeot,2008,2018.0,1.6 Feline,blanco,Nafta,Manual,1.6,104000,14000.0,U$S,concesionaria,1,0
Peugeot,2008,2022.0,1.6 Feline Tip,blanco,Nafta,Automática,1.6,50000,17129.19,U$S,concesionaria,1,0
Peugeot,2008,2017.0,1.6 Thp Sport,blanco,Nafta,Manual,1.6,90000,13000.0,U$S,concesionaria,1,0
Peugeot,2008,2018.0,1.6 Feline,blanco,Nafta,Manual,1.6,100000,15215.31,U$S,concesionaria,1,0
Peugeot,2008,2018.0,1.6 Thp Sport,blanco,Nafta,Manual,1.6,98518,14832.54,U$S,concesionaria,1,0
Peugeot,2008,2020.0,1.6 Thp Sport Tip,blanco,Nafta,Automática,1.6,72100,18373.21,U$S,concesionaria,1,0
Peugeot,2008,2019.0,1.6 Thp Sport,gris,Nafta,Manual,1.6,48000,15789.47,U$S,concesionaria,1,0
Peugeot,2008,2019.0,1.6 Allure,blanco,Nafta,Manual,1.6,73000,18500.0,U$S,concesionaria,1,0
Peugeot,2008,2019.0,1.6 Feline Tip,blanco,Nafta,Automática,1.6,20000,16267.94,U$S,concesionaria,1,0
Peugeot,2008,2016.0,1.6 Allure,rojo,Nafta,Manual,1.6,70000,12918.66,U$S,particular,1,0
Peugeot,2008,2017.0,1.6 Feline,marrón,Nafta,Manual,1.6,85000,13875.6,U$S,concesionaria,1,0
Peugeot,2008,2016.0,1.6 Feline,gris,Nafta,Manual,1.6,82000,12000.0,U$S,concesionaria,1,0
Peugeot,2008,2018.0,1.6 Allure,gris,Nafta,Manual,1.6,70500,14354.07,U$S,tienda,1,0
Peugeot,2008,2017.0,1.6 Thp Sport,blanco,Nafta,Manual,1.6,70000,13205.74,U$S,particular,1,0
Peugeot,2008,2020.0,1.6 In Concert Tiptronic,gris,Nafta,Automática,1.6,59800,18660.29,U$S,concesionaria,1,0
Peugeot,2008,2017.0,1.6 Active,gris,Nafta,Manual,1.6,100000,9900.0,U$S,concesionaria,1,0
Peugeot,2008,2016.0,1.6 Feline,plata,Nafta,Manual,1.6,163000,11961.72,U$S,concesionaria,1,0
Peugeot,2008,2016.0,1.6 Active,plata,Nafta,Manual,1.6,136000,12918.66,U$S,concesionaria,1,0
Peugeot,2008,2017.0,1.6 Thp Sport,rojo,Nafta,Manual,1.6,90000,13000.0,U$S,concesionaria,1,0
Peugeot,2008,2016.0,1.6 Allure,gris,Nafta,Manual,1.6,89366,12440.19,U$S,concesionaria,1,0
Peugeot,2008,2020.0,1.6 Feline Tip am20,gris,Nafta,Automática,1.6,23000,20000.0,U$S,concesionaria,1,0
Peugeot,2008,2017.0,1.6 Allure,negro,Nafta,Manual,1.6,95000,14600.0,U$S,particular,1,0
Peugeot,2008,2017.0,1.6 Feline,blanco,Nafta,Manual,1.6,114000,12500.0,U$S,concesionaria,1,0
Peugeot,2008,2022.0,1.6 Allure am20,rojo,Nafta,Manual,1.6,36000,20000.0,U$S,concesionaria,1,0
Peugeot,2008,2022.0,1.6 Feline Tip,gris,Nafta,Automática,1.6,50000,21531.1,U$S,concesionaria,1,0
Peugeot,2008,2020.0,1.6 Allure,gris,Nafta,Manual,1.6,49000,19000.0,U$S,concesionaria,1,0
Peugeot,2008,2017.0,1.6 Allure Tip,blanco,Nafta,Automática,1.6,53000,11961.72,U$S,concesionaria,1,0
Peugeot,2008,2017.0,1.6 Allure Tip,blanco,Nafta,Automática,1.6,37000,14900.0,U$S,concesionaria,1,0
Peugeot,2008,2016.0,1.6 Allure,rojo,Nafta,Manual,1.6,128000,10000.0,U$S,particular,1,0
Peugeot,2008,2019.0,1.6 Allure,blanco,Nafta,Manual,1.6,45000,17703.35,U$S,tienda,1,0
Peugeot,2008,2021.0,1.6 Feline,rojo,Nafta,Manual,1.6,44000,18660.29,U$S,concesionaria,1,0
Peugeot,2008,2017.0,1.6 Thp Sport,blanco,Nafta,Manual,1.6,70000,13205.74,U$S,concesionaria,1,0
Peugeot,2008,2021.0,1.6 ALLURE L19,blanco,Nafta,Manual,1.6,58462,18545.45,U$S,tienda,1,0
Peugeot,2008,2022.0,1.6 Feline Tiptronic,gris,Nafta,Automática,1.6,32960,22545.45,U$S,tienda,1,0
Peugeot,2008,2017.0,1.6 Thp Sport,blanco,Nafta,Manual,1.6,70000,11483.25,U$S,concesionaria,1,0
Peugeot,2008,2017.0,1.6 ALLURE TIPTRONIC L16,blanco,Nafta,Automática,1.6,73459,14755.98,U$S,tienda,1,0
Peugeot,2008,2016.0,1.6 Allure,gris,Nafta,Manual,1.6,95000,12918.66,U$S,concesionaria,1,0
Peugeot,2008,2018.0,1.6 FELINE L16,blanco,Nafta,Manual,1.6,87000,17263.16,U$S,tienda,1,0
Peugeot,2008,2018.0,1.6 FELINE TIPTRONIC L17,plata,Nafta,Automática,1.6,84640,16784.69,U$S,tienda,1,0
Peugeot,2008,2018.0,1.6 Active,blanco,Nafta,Manual,1.6,88003,13732.06,U$S,concesionaria,1,0
Peugeot,2008,2017.0,1.6 Thp Sport,blanco,Nafta,Manual,1.6,92000,11961.72,U$S,concesionaria,1,0
Peugeot,2008,2016.0,1.6 Feline,blanco,Nafta,Manual,1.6,132195,11483.25,U$S,concesionaria,1,0
Peugeot,2008,2016.0,1.6 Feline,gris,Nafta,Manual,1.6,94870,12727.27,U$S,concesionaria,1,0
Peugeot,2008,2024.0,1.6 Feline Tip,plata,Nafta,Automática,1.6,0,13205.74,U$S,concesionaria,1,0
Peugeot,2008,2020.0,1.6 Feline Tip,blanco,Nafta,Automática,1.6,74000,18181.82,U$S,concesionaria,1,0
Peugeot,2008,2017.0,1.6 Thp Sport,blanco,Nafta,Manual,1.6,98500,12440.19,U$S,tienda,1,0
Peugeot,2008,2017.0,1.6 Feline,blanco,Nafta,Manual,1.6,87000,14500.0,U$S,concesionaria,1,0
Peugeot,2008,2017.0,1.6 Feline,gris,Nafta,Manual,1.6,90000,14500.0,U$S,concesionaria,1,0
Peugeot,2008,2017.0,1.6 Thp Sport,gris,Nafta,Manual,1.6,130000,12500.0,U$S,concesionaria,1,0
Peugeot,2008,2018.0,1.6 Thp Sport,blanco,Nafta,Manual,1.6,65000,14700.0,U$S,concesionaria,1,0
