Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Kilómetros,Título,Precio,Moneda,Tipo de vendedor
Peugeot,2008,2019.0,1.6 Feline,Blanco,Nafta,5.0,Manual,1.6,80000 km,Peugeot 2008 1.6 Feline,18350.0,U$S,concesionaria
Peugeot,2008,2017.0,1.6 Feline,Blanco,Nafta,5.0,Manual,1.6,74000 km,Peugeot 2008 1.6 Feline,7559.81,U$S,concesionaria
Peugeot,2008,2022.0,1.6 Thp Sport Tip,Blanco,Nafta,5.0,Automática,1.6,61230 km,Peugeot 2008 1.6 Thp Sport Tip,18181.82,U$S,tienda
Peugeot,2008,2018.0,1.6 Allure,,Nafta,5.0,Manual,1.6,43000 km,Peugeot 2008 1.6 Allure,13800.0,U$S,particular
Peugeot,2008,2017.0,1.6 Allure,Plateado,Nafta,5.0,Manual,1.6,85014 km,Peugeot 2008 1.6 Allure,13200.0,U$S,particular
Peugeot,2008,2018.0,1.6 Allure,Gris,Nafta,5.0,Manual,1.6,56000 km,Peugeot 2008 1.6 Allure,13800.0,U$S,concesionaria
Peugeot,2008,2017.0,1.6 Allure Tip,Marrón,Nafta,5.0,Automática,1.6,62000 km,Peugeot 2008 1.6 Allure Tip,12248.8,U$S,tienda
Peugeot,2008,2017.0,1.6 Feline,,Nafta,5.0,Manual,1.6,71600 km,Peugeot 2008 1.6 Feline,13000.0,U$S,particular
Peugeot,2008,2017.0,1.6 Allure,,Nafta,5.0,Manual,1.6,115000 km,Peugeot 2008 1.6 Allure,10526.32,U$S,concesionaria
Peugeot,2008,2018.0,1.6 Feline,,Nafta,5.0,Manual,1.6,59000 km,Peugeot 2008 1.6 Feline,14900.0,U$S,particular
Peugeot,2008,2018.0,1.6 Allure Tip,Gris,Nafta,5.0,Automática,1.6,81000 km,Peugeot 2008 1.6 Allure Tip,13800.0,U$S,particular
Peugeot,2008,2016.0,1.6 Thp Sport,,Nafta,5.0,Manual,1.6,96000 km,Peugeot 2008 1.6 Thp Sport,12918.66,U$S,particular
Peugeot,2008,2016.0,1.6 Allure,Blanco,Nafta,5.0,Manual,1.6,97000 km,Peugeot 2008 1.6 Allure,12000.0,U$S,concesionaria
Peugeot,2008,2018.0,1.6 Thp Sport,Blanco,Nafta,5.0,Manual,1.6,115000 km,Peugeot 2008 1.6 Thp Sport,11291.87,U$S,particular
Peugeot,2008,2018.0,1.6 Allure,Negro,Nafta,5.0,Manual,1.6,94000 km,Peugeot 2008 1.6 Allure,12430.53,U$S,concesionaria
Peugeot,2008,2021.0,1.6 Thp Sport Tip,,Nafta,5.0,Automática,1.6,23568 km,Peugeot 2008 1.6 Thp Sport Tip,20800.0,U$S,particular
Peugeot,2008,2016.0,1.6 Active,,Nafta,5.0,Manual,1.6,89000 km,Peugeot 2008 1.6 Active,12500.0,U$S,particular
