Marca,Modelo,Año,Versión,Color,Tipo de combustible,Transmisión,Motor,Kilómetros,Título,Precio,Moneda,Tipo de vendedor
Peugeot,2008,2018.0,1.6 Allure,Gris,Nafta,Manual,1.6,56000,Peugeot 2008 1.6 Allure,13800.0,U$S,concesionaria
Peugeot,2008,2017.0,1.6 Allure Tip,Marrón,Nafta,Automática,1.6,62000,Peugeot 2008 1.6 Allure Tip,12248.8,U$S,tienda
Peugeot,2008,2017.0,1.6 Feline,,Nafta,Manual,1.6,71600,Peugeot 2008 1.6 Feline,13000.0,U$S,particular
Peugeot,2008,2017.0,1.6 Allure,,Nafta,Manual,1.6,115000,Peugeot 2008 1.6 Allure,10526.32,U$S,concesionaria
Peugeot,2008,2018.0,1.6 Feline,,Nafta,Manual,1.6,59000,Peugeot 2008 1.6 Feline,14900.0,U$S,particular
Peugeot,2008,2018.0,1.6 Allure Tip,Gris,Nafta,Automática,1.6,81000,Peugeot 2008 1.6 Allure Tip,13800.0,U$S,particular
Peugeot,2008,2016.0,1.6 Thp Sport,,Nafta,Manual,1.6,96000,Peugeot 2008 1.6 Thp Sport,12918.66,U$S,particular
Peugeot,2008,2016.0,1.6 Allure,Blanco,Nafta,Manual,1.6,97000,Peugeot 2008 1.6 Allure,12000.0,U$S,concesionaria
Peugeot,2008,2018.0,1.6 Thp Sport,Blanco,Nafta,Manual,1.6,115000,Peugeot 2008 1.6 Thp Sport,11291.87,U$S,particular
Peugeot,2008,2018.0,1.6 Allure,Negro,Nafta,Manual,1.6,94000,Peugeot 2008 1.6 Allure,12430.53,U$S,concesionaria
Peugeot,2008,2021.0,1.6 Thp Sport Tip,,Nafta,Automática,1.6,23568,Peugeot 2008 1.6 Thp Sport Tip,20800.0,U$S,particular
Peugeot,2008,2016.0,1.6 Active,,Nafta,Manual,1.6,89000,Peugeot 2008 1.6 Active,12500.0,U$S,particular
Peugeot,2008,2018.0,1.6 Feline Tip,,Nafta,Automática,1.6,22000,Peugeot 2008 1.6 Feline Tip,15500.0,U$S,concesionaria
Peugeot,2008,2017.0,1.6 Thp Sport,,Nafta,Manual,1.6,126000,Peugeot 2008 1.6 Thp Sport,13500.0,U$S,concesionaria
Peugeot,2008,2016.0,1.6 Thp Sport,,Nafta,Manual,1.6,125000,Peugeot 2008 1.6 Thp Sport,10800.0,U$S,concesionaria
Peugeot,2008,2020.0,1.6 Thp Sport am20,Marrón,Nafta,Manual,1.6,31000,Peugeot 2008 1.6 Thp Sport am20,21000.0,U$S,particular
Peugeot,2008,2016.0,1.6 Active,,Nafta,Manual,1.6,17000,Peugeot 2008 1.6 Active,12430.62,U$S,concesionaria
Peugeot,2008,2022.0,1.6 Thp Sport Tip,Blanco,Nafta,Automática,1.6,58000,Peugeot 2008 1.6 Thp Sport Tip,18181.82,U$S,tienda
Peugeot,2008,2017.0,1.6 Feline,Blanco,Nafta,Manual,1.6,140000,Peugeot 2008 1.6 Feline,15550.24,U$S,concesionaria
Peugeot,2008,2016.0,1.6 Thp Sport,,Nafta,Manual,1.6,75000,Peugeot 2008 1.6 Thp Sport,11961.72,U$S,concesionaria
Peugeot,2008,2020.0,1.6 Feline,,Nafta,Manual,1.6,30000,Peugeot 2008 1.6 Feline,18500.0,U$S,concesionaria
Peugeot,2008,2020.0,1.6 Thp Sport am20,,Nafta,Manual,1.6,53000,Peugeot 2008 1.6 Thp Sport am20,17900.0,U$S,particular
Peugeot,2008,2019.0,1.6 Thp Sport,Blanco,Nafta,Manual,1.6,92000,Peugeot 2008 1.6 Thp Sport,16746.41,U$S,concesionaria
Peugeot,2008,2016.0,1.6 Allure,,Nafta,Manual,1.6,104000,Peugeot 2008 1.6 Allure,10526.32,U$S,particular
Peugeot,2008,2017.0,1.6 Allure Tip,,Nafta,Automática,1.6,78000,Peugeot 2008 1.6 Allure Tip,13301.44,U$S,particular
Peugeot,2008,2020.0,1.6 Thp Sport,,Nafta,Manual,1.6,55000,Peugeot 2008 1.6 Thp Sport,19000.0,U$S,particular
Peugeot,2008,2017.0,1.6 Feline,,Nafta,Manual,1.6,105000,Peugeot 2008 1.6 Feline,13301.44,U$S,particular
Peugeot,2008,2017.0,1.6 Feline,,Nafta,Manual,1.6,106000,Peugeot 2008 1.6 Feline,15000.0,U$S,particular
Peugeot,2008,2016.0,1.6 Feline,,Nafta,Manual,1.6,110000,Peugeot 2008 1.6 Feline,11483.25,U$S,particular
Peugeot,2008,2019.0,1.6 Feline,,Nafta,Manual,1.6,75000,Peugeot 2008 1.6 Feline,17224.88,U$S,particular
Peugeot,2008,2016.0,1.6 Thp Sport,Blanco,Nafta,Manual,1.6,122000,Peugeot 2008 1.6 Thp Sport,9760.76,U$S,particular
Peugeot,2008,2016.0,1.6 Allure,Blanco,Nafta,Manual,1.6,107000,Peugeot 2008 1.6 Allure,14162.68,U$S,concesionaria
Peugeot,2008,2018.0,1.6 Active,,Nafta,Manual,1.6,160000,Peugeot 2008 1.6 Active,12400.0,U$S,particular
Peugeot,2008,2020.0,1.6 Thp Sport am20,,Nafta,Manual,1.6,52000,Peugeot 2008 1.6 Thp Sport am20,16267.94,U$S,particular
Peugeot,2008,2018.0,1.6 Allure Tip,,Nafta,Automática,1.6,37000,Peugeot 2008 1.6 Allure Tip,14600.0,U$S,particular
Peugeot,2008,2023.0,1.6 Feline,Plateado,Nafta,Manual,1.6,11190,Peugeot 2008 1.6 Feline,24800.0,U$S,particular
Peugeot,2008,2017.0,1.6 Feline,,Nafta,Manual,1.6,95000,Peugeot 2008 1.6 Feline,12918.66,U$S,particular
Peugeot,2008,2017.0,1.6 Active,,Nafta,Manual,1.6,121000,Peugeot 2008 1.6 Active,10700.0,U$S,particular
Peugeot,2008,2019.0,1.6 Crossway,Blanco,Nafta,Manual,1.6,53117,Peugeot 2008 1.6 Crossway,15215.31,U$S,concesionaria
Peugeot,2008,2021.0,1.6 Feline,,Nafta,Manual,1.6,30000,Peugeot 2008 1.6 Feline,20000.0,U$S,particular
Peugeot,2008,2019.0,1.6 Feline,Gris,Nafta,Manual,1.6,58000,Peugeot 2008 1.6 Feline,16172.25,U$S,concesionaria
Peugeot,2008,2016.0,1.6 Allure Tip,,Nafta,Automática,1.6,97000,Peugeot 2008 1.6 Allure Tip,13349.28,U$S,particular
Peugeot,2008,2023.0,Active Pack TipTroni,,Nafta,Manual,1.6,4300,Peugeot 2008 Active Pack TipTroni,19300.0,U$S,particular
Peugeot,2008,2017.0,1.6 Thp Sport,Blanco,Nafta,Manual,1.6,100000,Peugeot 2008 1.6 Thp Sport,12800.0,U$S,particular
Peugeot,2008,2021.0,1.6 Thp Sport Tip,Plateado,Nafta,Automática,1.6,58000,Peugeot 2008 1.6 Thp Sport Tip,19500.0,U$S,particular
Peugeot,2008,2017.0,1.6 Allure Tip,,Nafta,Automática,1.6,95000,Peugeot 2008 1.6 Allure Tip,13000.0,U$S,particular
Peugeot,2008,2021.0,1.6 Allure,Blanco,Nafta,Manual,1.6,24900,Peugeot 2008 1.6 Allure,16181.82,U$S,concesionaria
Peugeot,2008,2018.0,1.6 Feline Tip,,Nafta,Automática,1.6,92000,Peugeot 2008 1.6 Feline Tip,13000.0,U$S,particular
Peugeot,2008,2019.0,1.6 Thp Sport,,Nafta,Manual,1.6,50000,Peugeot 2008 1.6 Thp Sport,16555.02,U$S,particular
Peugeot,2008,2018.0,1.6 Feline,Blanco,Nafta,Manual,1.6,48003,Peugeot 2008 1.6 Feline,16500.0,U$S,concesionaria
