Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Título,Precio,Moneda,Tipo de vendedor,Con cámara de retroceso
Peugeot,2008,2021.0,1.6 Allure,Blanco,Nafta,5.0,Manual,1.6,SUV,23800 km,Peugeot 2008 1.6 Allure,18090.91,U$S,concesionaria,
Peugeot,2008,2017.0,1.6 Allure Tip,Gris,Nafta,5.0,Automática,1.6,SUV,62000 km,Peugeot 2008 1.6 Allure Tip,11636.36,U$S,tienda,
Peugeot,2008,2018.0,1.6 FELINE TIPTRONIC AT,Blanco,Nafta,5.0,Automática,1.6,SUV,130000 km,Peugeot 2008 1.6 FELINE TIPTRONIC AT,12727.27,U$S,concesionaria,Sí
Peugeot,2008,2022.0,1.6 Feline Tip,Negro,Nafta,5.0,Automática,1.6,SUV,25900 km,Peugeot 2008 1.6 Feline Tip,21545.45,U$S,concesionaria,
Peugeot,2008,2021.0,1.6 Allure,Gris,Nafta,5.0,Manual,1.6,SUV,99200 km,Peugeot 2008 1.6 Allure,12727.27,U$S,tienda,
Peugeot,2008,2020.0,CONCERT 1.6 THP TIPTRONIC AM20,Gris,Nafta,4.0,Automática,1.6,SUV,31908 km,Peugeot 2008 CONCERT 1.6 THP TIPTRONIC AM20,18727.27,U$S,concesionaria,
Peugeot,2008,2019.0,1.6 Thp Sport,Blanco,Nafta,5.0,Manual,1.6,SUV,105000 km,Peugeot 2008 1.6 Thp Sport,15499.0,U$S,particular,Sí
Peugeot,2008,2022.0,1.6 Thp Sport Tip,Blanco,Nafta,5.0,Automática,1.6,SUV,71000 km,Peugeot 2008 1.6 Thp Sport Tip,17727.27,U$S,tienda,
Peugeot,2008,2019.0,1.6 Feline,Blanco,Nafta,5.0,Manual,1.6,SUV,80000 km,Peugeot 2008 1.6 Feline,18350.0,U$S,concesionaria,
Peugeot,2008,2017.0,1.6 Feline,Blanco,Nafta,5.0,Manual,1.6,SUV,74000 km,Peugeot 2008 1.6 Feline,7181.82,U$S,concesionaria,
Peugeot,2008,2022.0,1.6 Thp Sport Tip,Blanco,Nafta,5.0,Automática,1.6,SUV,61230 km,Peugeot 2008 1.6 Thp Sport Tip,17272.73,U$S,tienda,
Peugeot,2008,2018.0,1.6 Allure,,Nafta,5.0,Manual,1.6,SUV,43000 km,Peugeot 2008 1.6 Allure,13800.0,U$S,particular,
Peugeot,2008,2017.0,1.6 Allure,Plateado,Nafta,5.0,Manual,1.6,SUV,85014 km,Peugeot 2008 1.6 Allure,13200.0,U$S,particular,
Peugeot,2008,2018.0,1.6 Allure,Gris,Nafta,5.0,Manual,1.6,SUV,56000 km,Peugeot 2008 1.6 Allure,13800.0,U$S,concesionaria,No
Peugeot,2008,2017.0,1.6 Allure Tip,Marrón,Nafta,5.0,Automática,1.6,SUV,62000 km,Peugeot 2008 1.6 Allure Tip,11636.36,U$S,tienda,
Peugeot,2008,2017.0,1.6 Feline,,Nafta,5.0,Manual,1.6,SUV,71600 km,Peugeot 2008 1.6 Feline,13000.0,U$S,particular,
Peugeot,2008,2017.0,1.6 Allure,,Nafta,5.0,Manual,1.6,SUV,115000 km,Peugeot 2008 1.6 Allure,10000.0,U$S,concesionaria,
Peugeot,2008,2018.0,1.6 Feline,,Nafta,5.0,Manual,1.6,SUV,59000 km,Peugeot 2008 1.6 Feline,14900.0,U$S,particular,
Peugeot,2008,2018.0,1.6 Allure Tip,Gris,Nafta,5.0,Automática,1.6,SUV,81000 km,Peugeot 2008 1.6 Allure Tip,13800.0,U$S,particular,
Peugeot,2008,2016.0,1.6 Thp Sport,,Nafta,5.0,Manual,1.6,SUV,96000 km,Peugeot 2008 1.6 Thp Sport,12272.73,U$S,particular,
Peugeot,2008,2016.0,1.6 Allure,Blanco,Nafta,5.0,Manual,1.6,SUV,97000 km,Peugeot 2008 1.6 Allure,12000.0,U$S,concesionaria,
Peugeot,2008,2018.0,1.6 Thp Sport,Blanco,Nafta,5.0,Manual,1.6,SUV,115000 km,Peugeot 2008 1.6 Thp Sport,10727.27,U$S,particular,
Peugeot,2008,2018.0,1.6 Allure,Negro,Nafta,5.0,Manual,1.6,SUV,94000 km,Peugeot 2008 1.6 Allure,11809.0,U$S,concesionaria,
Peugeot,2008,2021.0,1.6 Thp Sport Tip,,Nafta,5.0,Automática,1.6,SUV,23568 km,Peugeot 2008 1.6 Thp Sport Tip,20800.0,U$S,particular,
Peugeot,2008,2016.0,1.6 Active,,Nafta,5.0,Manual,1.6,SUV,89000 km,Peugeot 2008 1.6 Active,12500.0,U$S,particular,
Peugeot,2008,2018.0,1.6 Feline Tip,,Nafta,5.0,Automática,1.6,SUV,22000 km,Peugeot 2008 1.6 Feline Tip,15500.0,U$S,concesionaria,
Peugeot,2008,2017.0,1.6 Thp Sport,,Nafta,5.0,Manual,1.6,SUV,126000 km,Peugeot 2008 1.6 Thp Sport,13500.0,U$S,concesionaria,
Peugeot,2008,2016.0,1.6 Thp Sport,,Nafta,5.0,Manual,1.6,SUV,125000 km,Peugeot 2008 1.6 Thp Sport,10800.0,U$S,concesionaria,
