Marca,Modelo,Año,Color,Tipo de combustible,Transmisión,Motor,Kilómetros,Precio,Tipo de vendedor,Edad,Km promedio por año,Cilindros,Turbo
Peugeot,2008,2016.0,blanco,Nafta,Manual,1.6,107000,15578.95,concesionaria,8.0,13375.0,1,0
Peugeot,2008,2018.0,gris,Nafta,Manual,1.6,160000,12400.0,particular,6.0,26666.0,1,0
Peugeot,2008,2020.0,gris,Nafta,Manual,1.6,52000,17894.74,particular,4.0,13000.0,1,0
Peugeot,2008,2018.0,blanco,Nafta,Automática,1.6,37000,14600.0,particular,6.0,6166.0,1,0
Peugeot,2008,2023.0,plata,Nafta,Manual,1.6,11190,24800.0,particular,1.0,11190.0,1,0
Peugeot,2008,2017.0,azul,Nafta,Manual,1.6,95000,14210.53,particular,7.0,13571.0,1,0
Peugeot,2008,2017.0,plata,Nafta,Manual,1.6,121000,10700.0,particular,7.0,17285.0,1,0
Peugeot,2008,2019.0,blanco,Nafta,Manual,1.6,53117,16736.84,concesionaria,5.0,10623.0,1,0
Peugeot,2008,2021.0,plata,Nafta,Manual,1.6,30000,20000.0,particular,3.0,10000.0,1,0
Peugeot,2008,2019.0,gris,Nafta,Manual,1.6,58000,17789.47,concesionaria,5.0,11600.0,1,0
Peugeot,2008,2016.0,gris,Nafta,Automática,1.6,97000,14684.21,particular,8.0,12125.0,1,0
Peugeot,2008,2023.0,negro,Nafta,Manual,1.6,4300,19300.0,particular,1.0,4300.0,1,0
Peugeot,2008,2017.0,blanco,Nafta,Manual,1.6,100000,12800.0,particular,7.0,14285.0,1,0
Peugeot,2008,2021.0,plata,Nafta,Automática,1.6,58000,19500.0,particular,3.0,19333.0,1,0
Peugeot,2008,2017.0,blanco,Nafta,Automática,1.6,95000,13000.0,particular,7.0,13571.0,1,0
Peugeot,2008,2021.0,blanco,Nafta,Manual,1.6,24900,17800.0,concesionaria,3.0,8300.0,1,0
Peugeot,2008,2018.0,azul,Nafta,Automática,1.6,92000,13000.0,particular,6.0,15333.0,1,0
Peugeot,2008,2019.0,rojo,Nafta,Manual,1.6,50000,18210.53,particular,5.0,10000.0,1,0
Peugeot,2008,2018.0,blanco,Nafta,Manual,1.6,48003,16500.0,concesionaria,6.0,8000.0,1,0
