Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Título,Precio,Moneda,Tipo de vendedor,Con cámara de retroceso
Chevrolet,Tracker,2023,1.2 Turbo At,Rojo,Nafta,5.0,Automática,1.2,SUV,4000 km,Chevrolet Tracker 1.2 Turbo At,25000.0,U$S,particular,
Chevrolet,Tracker,2020,Tracker FWD PREMIER,Negro,Nafta,5.0,Automática,1.2,SUV,39000 km,Chevrolet Tracker Tracker FWD PREMIER,21000.0,U$S,particular,
Chevrolet,Tracker,2015,1.8 Ltz+ Awd At 140cv,,Nafta,5.0,Automática,1.8,SUV,107000 km,Chevrolet Tracker 1.8 Ltz+ Awd At 140cv,13500.0,U$S,particular,
Chevrolet,Tracker,2016,1.8 Ltz+ Awd At 140cv,,Nafta,5.0,Automática,1.8,SUV,111151 km,Chevrolet Tracker 1.8 Ltz+ Awd At 140cv,15500.0,U$S,particular,
Chevrolet,Tracker,2015,1.8 Ltz Fwd Mt 140cv,,Nafta,5.0,Manual,1.8,SUV,96000 km,Chevrolet Tracker 1.8 Ltz Fwd Mt 140cv,14000000.0,$,particular,
Chevrolet,Tracker,2023,1.2 Turbo At,,Nafta,5.0,Automática,1.2,SUV,28000 km,Chevrolet Tracker 1.2 Turbo At,23000000.0,$,particular,
Chevrolet,Tracker,2016,1.8 Ltz+ Awd At 140cv,,Nafta,5.0,Automática,1.8,SUV,71000 km,Chevrolet Tracker 1.8 Ltz+ Awd At 140cv,15000.0,U$S,particular,
Chevrolet,Tracker,2024,1.2 Turbo At,,Nafta,5.0,Automática,1.2,SUV,1000 km,Chevrolet Tracker 1.2 Turbo At,25000000.0,$,particular,
Chevrolet,Tracker,2016,Awd ltz 4x4,,Nafta,5.0,Automática,1.8,SUV,76000 km,Chevrolet Tracker Awd ltz 4x4,15000.0,U$S,particular,
Chevrolet,Tracker,2015,1.8 Ltz Fwd Mt 140cv,Blanco,Nafta,5.0,Manual,1.8,SUV,190000 km,Chevrolet Tracker 1.8 Ltz Fwd Mt 140cv,11900.0,U$S,particular,
Chevrolet,Tracker,2014,1.8 Ltz Fwd Mt 140cv,Gris,Nafta,5.0,Manual,1.8,SUV,105000 km,Chevrolet Tracker 1.8 Ltz Fwd Mt 140cv,11000.0,U$S,particular,No
Chevrolet,Tracker,2017,1.8 Ltz+ 140cv,,Nafta,5.0,Automática,1.8,SUV,93000 km,Chevrolet Tracker 1.8 Ltz+ 140cv,15500.0,U$S,particular,
Chevrolet,Tracker,2024,1.2 Turbo At,,Nafta,5.0,Automática,1.2,SUV,1000 km,Chevrolet Tracker 1.2 Turbo At,25900.0,U$S,particular,
Chevrolet,Tracker,2016,1.8 Ltz+ Awd At 140cv,,Nafta,5.0,Automática,1.8,SUV,108000 km,Chevrolet Tracker 1.8 Ltz+ Awd At 140cv,14500000.0,$,particular,
Chevrolet,Tracker,2016,1.8 Ltz Awd At 140cv,Gris,Nafta,5.0,Automática,1.8,SUV,112000 km,Chevrolet Tracker 1.8 Ltz Awd At 140cv,14000000.0,$,particular,Sí
Chevrolet,Tracker,2018,1.8 Ltz,,Nafta,5.0,Manual,1.8,SUV,63500 km,Chevrolet Tracker 1.8 Ltz,18000000.0,$,particular,
Chevrolet,Tracker,2018,1.8 LTZ AWD,,Nafta,5.0,Manual,1.8,SUV,68500 km,Chevrolet Tracker 1.8 LTZ AWD,19500000.0,$,particular,
Chevrolet,Tracker,2015,1.8 Ltz Fwd Mt 140cv,,Nafta,5.0,Manual,1.8,SUV,60045 km,Chevrolet Tracker 1.8 Ltz Fwd Mt 140cv,13390000.0,$,particular,
Chevrolet,Tracker,2014,1.8 Ltz Fwd Mt 140cv,,Nafta,5.0,Manual,1.8,SUV,149000 km,Chevrolet Tracker 1.8 Ltz Fwd Mt 140cv,11500.0,U$S,particular,
Chevrolet,Tracker,2016,1.8 Ltz+ Awd At 140cv,,Nafta,5.0,Automática,1.8,SUV,112000 km,Chevrolet Tracker 1.8 Ltz+ Awd At 140cv,13900.0,U$S,particular,
Chevrolet,Tracker,2023,1.2 Turbo Mt,,Nafta,5.0,Manual,1.2,SUV,12000 km,Chevrolet Tracker 1.2 Turbo Mt,22900.0,U$S,particular,
Chevrolet,Tracker,2016,1.8 Ltz Awd At 140cv,,Nafta,5.0,Automática,1.8,SUV,65500 km,Chevrolet Tracker 1.8 Ltz Awd At 140cv,18000.0,U$S,particular,
Chevrolet,Tracker,2021,1.2 Turbo Mt,,Nafta,5.0,Manual,1.2,SUV,47000 km,Chevrolet Tracker 1.2 Turbo Mt,21000.0,U$S,particular,
Chevrolet,Tracker,2024,1.2 Premier Turbo At,Rojo,Nafta,5.0,Automática,1.2,SUV,550 km,Chevrolet Tracker 1.2 Premier Turbo At,30000000.0,$,particular,Sí
Chevrolet,Tracker,2023,1.2 Ltz Turbo At,,Nafta,5.0,Automática,1.2,SUV,9280 km,Chevrolet Tracker 1.2 Ltz Turbo At,27000.0,U$S,particular,
Chevrolet,Tracker,2024,1.2 Turbo Premier At,,Nafta,5.0,Automática,1.2,SUV,500 km,Chevrolet Tracker 1.2 Turbo Premier At,30000.0,U$S,particular,
Chevrolet,Tracker,2017,1.8 Ltz 140cv,,Nafta,5.0,Automática,1.8,SUV,86000 km,Chevrolet Tracker 1.8 Ltz 140cv,16000.0,U$S,particular,
Chevrolet,Tracker,2021,1.2 Turbo At,,Nafta,5.0,Automática,1.2,SUV,70000 km,Chevrolet Tracker 1.2 Turbo At,20500.0,U$S,particular,
Chevrolet,Tracker,2015,1.8 Ltz Fwd Mt 140cv,,Nafta,5.0,Manual,1.8,SUV,98000 km,Chevrolet Tracker 1.8 Ltz Fwd Mt 140cv,13500.0,U$S,particular,
Chevrolet,Tracker,2016,1.8 Ltz+ Awd At 140cv,Azul,Nafta,5.0,Automática,1.8,SUV,98000 km,Chevrolet Tracker 1.8 Ltz+ Awd At 140cv,15000000.0,$,particular,Sí
Chevrolet,Tracker,2020,1.2 Turbo Mt,,Nafta,5.0,Manual,1.2,SUV,74000 km,Chevrolet Tracker 1.2 Turbo Mt,19000.0,U$S,particular,
Chevrolet,Tracker,2017,1.8 Ltz+ 140cv,Gris,Nafta,5.0,Automática,1.8,SUV,113000 km,Chevrolet Tracker 1.8 Ltz+ 140cv,17500.0,U$S,particular,Sí
Chevrolet,Tracker,2016,1.8 Ltz+ Awd At 140cv,,Nafta,5.0,Automática,1.8,SUV,133000 km,Chevrolet Tracker 1.8 Ltz+ Awd At 140cv,14000.0,U$S,particular,
